DATE,贷款市场报价利率(LPR):1年,中期借贷便利(MLF):操作利率:1年,GDP:不变价:当季同比,消费者指数:信心指数,国债到期收益率:6月,国债到期收益率:1年,国债到期收益率:2年,国债到期收益率:3年,国债到期收益率:4年,国债到期收益率:5年,国债到期收益率:6年,国债到期收益率:7年,国债到期收益率:8年,国债到期收益率:9年,国债到期收益率:10年,国债到期收益率:15年,国债到期收益率:20年,国债到期收益率:30年,中国银行:净息差,国民总储蓄率,"未来3个月准备增加""购房""支出的比例",居民人均可支配收入,中债中国绿色债券指数(总值)净价指数,制造业PMI,出口总值(人民币计价):当月值,CPI:当月值,房地产开发投资:当月值,规模以上工业增加值:定基指数,全国城镇调查失业率,存款准备金率:中小型存款类金融机构,GDP:平减指数,DR007,逆回购:7日:回购利率,逆回购:7日:回购金额
2016-01-31,,3.25,,104.0,2.3047,2.3637,2.519,2.6042,2.6747,2.7453,2.8105,2.8757,2.8676,2.8595,2.8514,3.1317,3.427,3.5497,,,,,105.6773,49.4,10918.0,101.8,,149.8,,15.5,,2.2682000000,2.25,200.0
2016-02-29,,3.0,,104.4,2.2276,2.2538,2.43,2.5236,2.6003,2.6771,2.7784,2.8797,2.8781,2.8766,2.875,3.1795,3.4342,3.5452,,,,,105.5052,49.0,7931.0,102.3,,124.0,,15.5,,2.3374000000,2.25,2300.0
2016-03-31,,,6.9,100.0,2.0474,2.0989,2.2203,2.3379,2.4257,2.5134,2.6391,2.7647,2.7968,2.8289,2.861,3.0967,3.24,3.3294,1.97,,13.6,,105.2348,50.2,10130.0,102.3,8624.83,168.3,,15.0,,2.3443000000,2.25,1000.0
2016-04-30,,,,101.0,2.2117,2.2826,2.4263,2.5748,2.6617,2.7487,2.8498,2.951,2.9329,2.9149,2.8968,3.182,3.3285,3.45,,,,,103.7075,50.1,10861.0,102.3,7699.02,155.2,,15.0,,2.4042000000,2.25,300.0
2016-05-31,,,,99.8,2.2198,2.3193,2.5151,2.6365,2.7074,2.7783,2.8706,2.9629,2.9653,2.9676,2.97,3.352,3.453,3.5316,,,,,104.1984,50.1,11372.0,102.0,9188.47,162.4,,15.0,,2.2976000000,2.25,1200.0
2016-06-30,,3.0,6.8,102.9,2.2515,2.3851,2.5105,2.5576,2.6299,2.7022,2.7764,2.8506,2.8545,2.8584,2.8623,3.3362,3.4067,3.5237,1.9,,15.1,,104.713,50.0,11499.0,101.9,12066.41,182.0,,15.0,,2.3760000000,2.25,1300.0
2016-07-31,,3.0,,106.8,2.1931,2.2375,2.399,2.4772,2.536,2.5947,2.6816,2.7686,2.7692,2.7698,2.7704,3.1524,3.2233,3.3617,,,,,105.53,49.9,11889.0,101.8,8729.98,165.4,,15.0,,2.3646000000,2.25,700.0
2016-08-31,,3.0,,105.6,2.0809,2.1331,2.3415,2.4413,2.5149,2.5884,2.6794,2.7704,2.7708,2.7711,2.7715,3.104,3.1311,3.3226,,,,,105.528,50.4,12593.0,101.3,9026.24,166.5,,15.0,,2.2995000000,2.25,400.0
2016-09-30,,3.0,6.8,104.6,2.096,2.2087,2.2904,2.3839,2.4857,2.5874,2.6658,2.7441,2.7414,2.7386,2.7359,3.0482,3.0825,3.2103,1.85,,16.3,,105.5931,50.4,12161.0,101.9,10210.85,178.9,,15.0,,2.5792000000,2.25,900.0
2016-10-31,,3.0,,107.2,2.05,2.1928,2.2893,2.35,2.4133,2.4767,2.5633,2.65,2.6667,2.6833,2.7,2.97,3.021,3.1,,,,,105.5969,51.2,11769.0,102.1,9377.02,173.9,,15.0,,2.6891000000,2.25,1000.0
